id;date;value
Ken Rosewall;01-09-13;4
Ken Rosewall;01-01-14;4
Ken Rosewall;01-06-14;4
Ken Rosewall;01-07-14;4
Ken Rosewall;01-09-14;4
Ken Rosewall;01-01-15;4
Ken Rosewall;01-06-15;4
Ken Rosewall;01-07-15;4
Ken Rosewall;01-09-15;4
Ken Rosewall;01-01-16;4
Ken Rosewall;01-06-16;4
Ken Rosewall;01-07-16;4
Ken Rosewall;01-09-16;4
Ken Rosewall;01-01-17;4
Ken Rosewall;01-06-17;4
Ken Rosewall;01-07-17;4
Ken Rosewall;01-09-17;4
Ken Rosewall;01-01-18;4
Ken Rosewall;01-06-18;4
Ken Rosewall;01-07-18;4
Ken Rosewall;01-09-18;4
Ken Rosewall;01-01-19;4
Ken Rosewall;01-06-19;4
Ken Rosewall;01-07-19;4
Ken Rosewall;01-09-19;4
Ken Rosewall;01-01-20;4
Ken Rosewall;01-06-20;4
Ken Rosewall;01-07-20;4
Ken Rosewall;01-09-20;4
Ken Rosewall;01-01-21;4
Ken Rosewall;01-06-21;4
Rod Laver;01-06-68;0
Rod Laver;01-07-68;1
Rod Laver;01-09-68;1
Rod Laver;01-01-69;2
Rod Laver;01-06-69;3
Rod Laver;01-07-69;4
Rod Laver;01-09-69;5
Rod Laver;01-01-70;5
Rod Laver;01-06-70;5
Rod Laver;01-07-70;5
Rod Laver;01-09-70;5
Rod Laver;01-01-71;5
Rod Laver;01-06-71;5
Rod Laver;01-07-71;5
Rod Laver;01-09-71;5
Rod Laver;01-01-72;5
Rod Laver;01-06-72;5
Rod Laver;01-07-72;5
Rod Laver;01-09-72;5
Rod Laver;01-01-73;5
Rod Laver;01-06-73;5
Rod Laver;01-07-73;5
Rod Laver;01-09-73;5
Rod Laver;01-01-74;5
Rod Laver;01-06-74;5
Rod Laver;01-07-74;5
Rod Laver;01-09-74;5
Rod Laver;01-01-75;5
Rod Laver;01-06-75;5
Rod Laver;01-07-75;5
Rod Laver;01-09-75;5
Rod Laver;01-01-76;5
Rod Laver;01-06-76;5
Rod Laver;01-07-76;5
Rod Laver;01-09-76;5
Rod Laver;01-01-77;5
Rod Laver;01-06-77;5
Rod Laver;01-07-77;5
Rod Laver;01-09-77;5
Rod Laver;01-12-77;5
Rod Laver;01-06-78;5
Rod Laver;01-07-78;5
Rod Laver;01-09-78;5
Rod Laver;01-12-78;5
Rod Laver;01-06-79;5
Rod Laver;01-07-79;5
Rod Laver;01-09-79;5
Rod Laver;01-12-79;5
Rod Laver;01-06-80;5
Rod Laver;01-07-80;5
Rod Laver;01-09-80;5
Rod Laver;01-12-80;5
Rod Laver;01-06-81;5
Rod Laver;01-07-81;5
Rod Laver;01-09-81;5
Rod Laver;01-12-81;5
Rod Laver;01-06-82;5
Rod Laver;01-07-82;5
Rod Laver;01-09-82;5
Rod Laver;01-12-82;5
Rod Laver;01-06-83;5
Rod Laver;01-07-83;5
Rod Laver;01-09-83;5
Rod Laver;01-12-83;5
Rod Laver;01-06-84;5
Rod Laver;01-07-84;5
Rod Laver;01-09-84;5
Rod Laver;01-12-84;5
Rod Laver;01-06-85;5
Rod Laver;01-07-85;5
Rod Laver;01-09-85;5
Rod Laver;01-12-85;5
Rod Laver;01-06-86;5
Rod Laver;01-07-86;5
Rod Laver;01-09-86;5
Rod Laver;01-01-87;5
Rod Laver;01-06-87;5
Rod Laver;01-07-87;5
Rod Laver;01-09-87;5
Rod Laver;01-01-88;5
Rod Laver;01-06-88;5
Rod Laver;01-07-88;5
Rod Laver;01-09-88;5
Rod Laver;01-01-89;5
Rod Laver;01-06-89;5
Rod Laver;01-07-89;5
Rod Laver;01-09-89;5
Rod Laver;01-01-90;5
Rod Laver;01-06-90;5
Rod Laver;01-07-90;5
Rod Laver;01-09-90;5
Rod Laver;01-01-91;5
Rod Laver;01-06-91;5
Rod Laver;01-07-91;5
Rod Laver;01-09-91;5
Rod Laver;01-01-92;5
Rod Laver;01-06-92;5
Rod Laver;01-07-92;5
Rod Laver;01-09-92;5
Rod Laver;01-01-93;5
Rod Laver;01-06-93;5
Rod Laver;01-07-93;5
Rod Laver;01-09-93;5
Rod Laver;01-01-94;5
Rod Laver;01-06-94;5
Rod Laver;01-07-94;5
Rod Laver;01-09-94;5
Rod Laver;01-01-95;5
Rod Laver;01-06-95;5
Rod Laver;01-07-95;5
Rod Laver;01-09-95;5
Rod Laver;01-01-96;5
Rod Laver;01-06-96;5
Rod Laver;01-07-96;5
Rod Laver;01-09-96;5
Rod Laver;01-01-97;5
Rod Laver;01-06-97;5
Rod Laver;01-07-97;5
Rod Laver;01-09-97;5
Rod Laver;01-01-98;5
Rod Laver;01-06-98;5
Rod Laver;01-07-98;5
Rod Laver;01-09-98;5
Rod Laver;01-01-99;5
Rod Laver;01-06-99;5
Rod Laver;01-07-99;5
Rod Laver;01-09-99;5
Rod Laver;01-01-00;5
Rod Laver;01-06-00;5
Rod Laver;01-07-00;5
Rod Laver;01-09-00;5
Rod Laver;01-01-01;5
Rod Laver;01-06-01;5
Rod Laver;01-07-01;5
Rod Laver;01-09-01;5
Rod Laver;01-01-02;5
Rod Laver;01-06-02;5
Rod Laver;01-07-02;5
Rod Laver;01-09-02;5
Rod Laver;01-01-03;5
Rod Laver;01-06-03;5
Rod Laver;01-07-03;5
Rod Laver;01-09-03;5
Rod Laver;01-01-04;5
Rod Laver;01-06-04;5
Rod Laver;01-07-04;5
Rod Laver;01-09-04;5
Rod Laver;01-01-05;5
Rod Laver;01-06-05;5
Rod Laver;01-07-05;5
Rod Laver;01-09-05;5
Rod Laver;01-01-06;5
Rod Laver;01-06-06;5
Rod Laver;01-07-06;5
Rod Laver;01-09-06;5
Rod Laver;01-01-07;5
Rod Laver;01-06-07;5
Rod Laver;01-07-07;5
Rod Laver;01-09-07;5
Rod Laver;01-01-08;5
Rod Laver;01-06-08;5
Rod Laver;01-07-08;5
Rod Laver;01-09-08;5
Rod Laver;01-01-09;5
Rod Laver;01-06-09;5
Rod Laver;01-07-09;5
Rod Laver;01-09-09;5
Rod Laver;01-01-10;5
Rod Laver;01-06-10;5
Rod Laver;01-07-10;5
Rod Laver;01-09-10;5
Rod Laver;01-01-11;5
Rod Laver;01-06-11;5
Rod Laver;01-07-11;5
Rod Laver;01-09-11;5
Rod Laver;01-01-12;5
Rod Laver;01-06-12;5
Rod Laver;01-07-12;5
Rod Laver;01-09-12;5
Rod Laver;01-01-13;5
Rod Laver;01-06-13;5
Rod Laver;01-07-13;5
Rod Laver;01-09-13;5
Rod Laver;01-01-14;5
Rod Laver;01-06-14;5
Rod Laver;01-07-14;5
Rod Laver;01-09-14;5
Rod Laver;01-01-15;5
Rod Laver;01-06-15;5
Rod Laver;01-07-15;5
Rod Laver;01-09-15;5
Rod Laver;01-01-16;5
Rod Laver;01-06-16;5
Rod Laver;01-07-16;5
Rod Laver;01-09-16;5
Rod Laver;01-01-17;5
Rod Laver;01-06-17;5
Rod Laver;01-07-17;5
Rod Laver;01-09-17;5
Rod Laver;01-01-18;5
Rod Laver;01-06-18;5
Rod Laver;01-07-18;5
Rod Laver;01-09-18;5
Rod Laver;01-01-19;5
Rod Laver;01-06-19;5
Rod Laver;01-07-19;5
Rod Laver;01-09-19;5
Rod Laver;01-01-20;5
Rod Laver;01-06-20;5
Rod Laver;01-07-20;5
Rod Laver;01-09-20;5
Rod Laver;01-01-21;5
Rod Laver;01-06-21;5
Arthur Ashe;01-06-68;0
Arthur Ashe;01-07-68;0
Arthur Ashe;01-09-68;1
Arthur Ashe;01-01-69;1
Arthur Ashe;01-06-69;1
Arthur Ashe;01-07-69;1
Arthur Ashe;01-09-69;1
Arthur Ashe;01-01-70;2
Arthur Ashe;01-06-70;2
Arthur Ashe;01-07-70;2
Arthur Ashe;01-09-70;2
Arthur Ashe;01-01-71;2
Arthur Ashe;01-06-71;2
Arthur Ashe;01-07-71;2
Arthur Ashe;01-09-71;2
Arthur Ashe;01-01-72;2
Arthur Ashe;01-06-72;2
Arthur Ashe;01-07-72;2
Arthur Ashe;01-09-72;2
Arthur Ashe;01-01-73;2
Arthur Ashe;01-06-73;2
Arthur Ashe;01-07-73;2
Arthur Ashe;01-09-73;2
Arthur Ashe;01-01-74;2
Arthur Ashe;01-06-74;2
Arthur Ashe;01-07-74;2
Arthur Ashe;01-09-74;2
Arthur Ashe;01-01-75;2
Arthur Ashe;01-06-75;2
Arthur Ashe;01-07-75;3
Arthur Ashe;01-09-75;3
Arthur Ashe;01-01-76;3
Arthur Ashe;01-06-76;3
Arthur Ashe;01-07-76;3
Arthur Ashe;01-09-76;3
Arthur Ashe;01-01-77;3
Arthur Ashe;01-06-77;3
Arthur Ashe;01-07-77;3
Arthur Ashe;01-09-77;3
Arthur Ashe;01-12-77;3
Arthur Ashe;01-06-78;3
Arthur Ashe;01-07-78;3
Arthur Ashe;01-09-78;3
Arthur Ashe;01-12-78;3
Arthur Ashe;01-06-79;3
Arthur Ashe;01-07-79;3
Arthur Ashe;01-09-79;3
Arthur Ashe;01-12-79;3
Arthur Ashe;01-06-80;3
Arthur Ashe;01-07-80;3
Arthur Ashe;01-09-80;3
Arthur Ashe;01-12-80;3
Arthur Ashe;01-06-81;3
Arthur Ashe;01-07-81;3
Arthur Ashe;01-09-81;3
Arthur Ashe;01-12-81;3
Arthur Ashe;01-06-82;3
Arthur Ashe;01-07-82;3
Arthur Ashe;01-09-82;3
Arthur Ashe;01-12-82;3
Arthur Ashe;01-06-83;3
Arthur Ashe;01-07-83;3
Arthur Ashe;01-09-83;3
Arthur Ashe;01-12-83;3
Arthur Ashe;01-06-84;3
Arthur Ashe;01-07-84;3
Arthur Ashe;01-09-84;3
Arthur Ashe;01-12-84;3
Arthur Ashe;01-06-85;3
Arthur Ashe;01-07-85;3
Arthur Ashe;01-09-85;3
Arthur Ashe;01-12-85;3
Arthur Ashe;01-06-86;3
Arthur Ashe;01-07-86;3
Arthur Ashe;01-09-86;3
Arthur Ashe;01-01-87;3
Arthur Ashe;01-06-87;3
Arthur Ashe;01-07-87;3
Arthur Ashe;01-09-87;3
Arthur Ashe;01-01-88;3
Arthur Ashe;01-06-88;3
Arthur Ashe;01-07-88;3
Arthur Ashe;01-09-88;3
Arthur Ashe;01-01-89;3
Arthur Ashe;01-06-89;3
